Type,Title,Summary,Author,Publication Date
Article,Heterogeneous integration of spin–photon interfaces with a CMOS platform,"A modular quantum system-on-chip architecture integrates thousands of individually addressable spin qubits in two-dimensional quantum microchiplet arrays into an integrated circuit designed for cryogenic control, supporting full connectivity for quantum memory arrays across spin–photon channels.","Linsen Li, Lorenzo De Santis, Dirk Englund",29-May-24
Article,Transcriptional control of theCryptosporidiumlife cycle,The transcription factor Myb-M is the earliest determinant of male fate in the parasiteCryptosporidiumparvum.,"Katelyn A. Walzer, Jayesh Tandel, Boris Striepen",29-May-24
Article,Reproducible graphene synthesis by oxygen-free chemical vapour deposition,"Assessment of surface contamination shows that trace oxygen is a key factor influencing the trajectory and quality of graphene grown by low-pressure chemical vapour deposition, with oxygen-free synthesis showing increased reproducibility and quality.","Jacob Amontree, Xingzhou Yan, James Hone",29-May-24
Article,The complete sequence and comparative analysis of ape sex chromosomes,Reference assemblies of great ape sex chromosomes show that Y chromosomes are more variable in size and sequence than X chromosomes and provide a resource for studies on human evolution and conservation genetics of non-human apes.,"Kateryna D. Makova, Brandon D. Pickett, Adam M. Phillippy",29-May-24
Article,Streamflow seasonality in a snow-dwindling world,"Analysis of streamflow measurements from 1950 to 2020 across 3,049 snow-affected catchments over the Northern Hemisphere shows that seasonal streamflow occurs earlier in snow-heavy catchments but later in less snowy regions.","Juntai Han, Ziwei Liu, Yuting Yang",29-May-24
Article,Van der Waals polarity-engineered 3D integration of 2D complementary logic,"We develop a method for high-density vertical stacking of active-device multi-layers, implementing memory and logic functions, using unique VIP-FETs where a van der Waals intercalation layer modulates the p- or n-type nature of the FETs.","Yimeng Guo, Jiangxu Li, Zheng Han",29-May-24
Article,A vision chip with complementary pathways for open-world sensing,"Inspired by the human visual system, a vision chip with primitive-based complementary pathways is developed to overcome the power and bandwidth wall of vision systems, achieving fast, precise, robust and high-dynamic-range sensing efficiently in the open world.","Zheyu Yang, Taoyi Wang, Luping Shi",29-May-24
Article,Unlocking bacterial potential to reduce farmland N2O emissions,A study presents a method to mitigate emissions of nitrous oxide from farmland using bacteria to consume nitrous oxide in soil with organic waste as a substrate and vector.,"Elisabeth G. Hiis, Silas H. W. Vick, Lars R. Bakken",29-May-24
Article,Structural basis for pegRNA-guided reverse transcription by a prime editor,"Cryo-electron microscopy structures of the prime editor bound to a prime editing guide RNA and target DNA, in the pre-initiation, initiation and elongation and termination states, provide insights into the mechanism by which prime editing occurs.","Yutaro Shuto, Ryoya Nakagawa, Osamu Nureki",29-May-24
Article,Canted spin order as a platform for ultrafast conversion of magnons,A study demonstrates a new functionality of canted spin order for magnonics and shows that it facilitates mechanisms for ultrafast nonlinear conversion of magnons.,"R. A. Leenders, D. Afanasiev, R. V. Mikhaylovskiy",29-May-24
Article,An alternative cell cycle coordinates multiciliated cell differentiation,"A distinct cell cycle redeploys many canonical cell cycle regulators to control the differentiation of multiciliated cells, with the transcription factor E2F7 playing a pivotal part in this modified cell cycle.","Semil P. Choksi, Lauren E. Byrnes, Jeremy F. Reiter",29-May-24
Article,A Gram-negative-selective antibiotic that spares the gut microbiome,"Lolamicin, a novel antibiotic developed from a pyridinepyrazole precursor, exhibits potent activity against a broad range of Gram-negative multidrug-resistant clinical isolates, and good efficacy in mouse models of infection without inducing gut dysbiosis.","Kristen A. Muñoz, Rebecca J. Ulrich, Paul J. Hergenrother",29-May-24
Article,Nano-achiral complex composites for extreme polarization optics,"Multilayer composites of 2D nanomaterials manufactured using a layer-by-layer methodology demonstrates strong polarization rotation, mechanical robustness and operational temperatures as high as 250 °C, despite being nano-achiral and partially disordered.","Jun Lu, Wenbing Wu, Nicholas A. Kotov",29-May-24
Article,High-resolution in situ structures of mammalian respiratory supercomplexes,"Mammalian respiratory supercomplexes are imaged in their native membrane environment by in situ cryo-electron microscopy, providing insight into their reactive intermediates and conformational dynamics.","Wan Zheng, Pengxin Chai, Kai Zhang",29-May-24
Article,Membraneless channels sieve cations in ammonia-oxidizing marine archaea,"TheNitrosopumilus maritimussurface layer (S-layer) concentrates ammonium ions on its cell-facing side, acting as a multichannel sieve on the cell membrane.","Andriko von Kügelgen, C. Keith Cassidy, Tanmay A. M. Bharat",29-May-24
Article,Pro-CRISPR PcrIIC1-associated Cas9 system for enhanced bacterial immunity,"Comprehensive analyses of Cas9 proteins shed light on the evolution of the CRISPR–Cas9 system, and identify a pro-CRISPR accessory protein in bacteria that boosts CRISPR-mediated immunity by enhancing the DNA binding and cleavage activity of Cas9.","Shouyue Zhang, Ao Sun, Jun-Jie Gogo Liu",29-May-24
Article,A contact binary satellite of the asteroid (152830) Dinkinesh,"Observations from the Lucy spacecraft of the small main-belt asteroid (152830) Dinkinesh reveals unexpected complexity, with a longitudinal trough and equatorial ridge, as well as the discovery of the first contact binary satellite.","Harold F. Levison, Simone Marchi, Yifan Zhao",29-May-24
Article,Selective lignin arylation for biomass fractionation and benign bisphenols,"By controlling C–C bond formation in catalytic arylation, lignin can be efficiently extracted from biomass and converted into benign bisphenols that can be used as replacements for their fossil-based counterparts.","Ning Li, Kexin Yan, Feng Wang",29-May-24
Article,Work hardening in colloidal crystals,"Deformation of soft colloidal crystals lead to work hardening, similar to that seen in the deformation of metals.","Seongsoo Kim, Ilya Svetlizky, Frans Spaepen",29-May-24
Article,Molecular basis for differentialIgkversusIghV(D)J joining mechanisms,"Experiments in mouse models, and in cell lines that only allow primary Vκ-to-Jκ rearrangements, enable characterization of the mechanisms of V(D)J recombination.","Yiwen Zhang, Xiang Li, Hongli Hu",29-May-24
Article,Acceleration of radiative recombination for efficient perovskite LEDs,"A dual-additive crystallization method using PyNI and 5AVA as additives results in highly efficient 3D perovskite films with enhanced photoluminescence quantum efficiencies and external quantum efficiencies, and hence increased LED performance.","Mengmeng Li, Yingguo Yang, Jianpu Wang",29-May-24
Article,Low-latency automotive vision with event cameras,"Use of a 20 frames per second (fps) RGB camera plus an event camera can achieve the same latency as a 5,000-fps camera with the bandwidth of a 45-fps camera without compromising accuracy.","Daniel Gehrig, Davide Scaramuzza",29-May-24
Article,The sex of organ geometry,"In fruit flies, three-dimensional organ arrangement is stereotypical, sexually dimorphic and actively maintained by muscle-vessel mechanochemical crosstalk.","Laura Blackie, Pedro Gaspar, Irene Miguel-Aliaga",29-May-24
News Feature,Exclusive: How NASA astronauts are training to walk on the Moon in 2026,Simulated lunar exploration in an Arizona volcanic field this month helped astronauts to prepare for doing geology in harsh conditions at the lunar south pole.Naturejoined mission control.,Alexandra Witze,29-May-24
News,‘Smart’ antibiotic can kill deadly bacteria while sparing the microbiome,Compound called lolamicin targets a group of harmful microbes but does not disturb those that live peacefully in the gut.,Fred Schwaller,29-May-24
News & Views,Why snow is crucial for water supply — and what will happen when it becomes scarce,Analysis of 70 years of snowfall in the Northern Hemisphere reveals that snow buffers the effect of varying precipitation levels on streamflow. The link highlights the need to rethink water-resource management as snow levels decline.,Karen R. Ryberg,29-May-24
